jobCode,title,department,location,employmentType,experienceLevel,salaryMin,salaryMax,description,requirements,responsibilities,closingDate
JOB001,Senior Mining Engineer,Operations,Accra,FULL_TIME,SENIOR,15000,25000,"Lead mining operations and manage engineering team","BSc Mining Engineering, 8+ years experience, Professional certification","Oversee daily mining operations, Manage engineering team, Ensure safety compliance",2025-02-28
JOB002,HR Assistant,Human Resources,Kumasi,FULL_TIME,ENTRY,3500,5000,"Support HR operations and employee relations","Diploma in HR Management, 1-2 years experience","Process employee records, Coordinate recruitment, Handle employee queries",2025-02-15
JOB003,Safety Officer,Safety & Compliance,Takoradi,FULL_TIME,MID,8000,12000,"Ensure workplace safety and regulatory compliance","Safety certification, 3-5 years mining experience","Conduct safety inspections, Train staff on safety protocols, Investigate incidents",2025-03-15
JOB004,Fleet Maintenance Supervisor,Fleet Management,Accra,FULL_TIME,MID,10000,15000,"Supervise fleet maintenance operations","Mechanical Engineering degree, 5+ years experience","Manage maintenance schedules, Supervise mechanics, Control spare parts inventory",2025-02-20
JOB005,Procurement Officer,Procurement,Kumasi,FULL_TIME,MID,7000,11000,"Manage procurement processes and vendor relations","Business degree, 3-4 years procurement experience","Process purchase orders, Negotiate with suppliers, Maintain vendor database",2025-03-01
JOB006,Junior Accountant,Finance,Accra,FULL_TIME,ENTRY,4000,6000,"Support accounting and financial reporting","Accounting degree, 0-2 years experience","Process invoices, Reconcile accounts, Prepare financial reports",2025-02-10
JOB007,IT Support Specialist,IT,Takoradi,FULL_TIME,ENTRY,5000,8000,"Provide technical support and maintain IT systems","IT certification, 1-3 years experience","Troubleshoot hardware/software issues, Maintain network infrastructure, Support users",2025-02-25
JOB008,Warehouse Manager,Logistics,Kumasi,FULL_TIME,MID,9000,14000,"Manage warehouse operations and inventory","Logistics degree, 4-6 years experience","Oversee warehouse staff, Manage inventory levels, Optimize storage systems",2025-03-10
JOB009,Environmental Officer,Environment,Accra,FULL_TIME,MID,8500,13000,"Ensure environmental compliance and sustainability","Environmental Science degree, 3-5 years experience","Monitor environmental impact, Prepare compliance reports, Implement sustainability programs",2025-03-05
JOB010,Project Coordinator,Projects,Takoradi,CONTRACT,MID,12000,18000,"Coordinate mining project activities","Project Management certification, 4+ years experience","Coordinate project tasks, Track milestones, Prepare project reports",2025-02-28
